,mean,std_err_norm,conf_intvl_norm_95_lower_edge,conf_intvl_norm_95_higher_edge,conf_intvl_norm_95_plus_minus
control_hit,0.45161290322580644,0.04469057496668557,0.3640209858427154,0.5392048206088975,0.08759191738309105
no_subject_hit,0.6129032258064516,0.061859995619986875,0.49165986230747183,0.7341465893054314,0.1212433634989798
no_sender_hit,0.46774193548387094,0.06336777155744093,0.3435433854507251,0.5919404855170167,0.12419855003314581
no_images_hit,0.3870967741935484,0.061859995619986875,0.2658534106945686,0.5083401376925282,0.1212433634989798
no_signature_hit,0.7580645161290323,0.05438849284057399,0.6514650289880927,0.8646640032699718,0.10659948714093959
no_targeted_hit,0.8225806451612904,0.04851699525429469,0.727489081824772,0.9176722084978087,0.09509156333651836
control_subj_conf,3.4193548387096775,0.11596487993585448,3.192067850563891,3.646641826855464,0.2272869881457864
no_subject_subj_conf,3.7096774193548385,0.12857619715447774,3.457672703662941,3.961682135046736,0.25200471569189764
no_sender_subj_conf,3.5483870967741935,0.15361552935270875,3.2473061917768287,3.8494680017715583,0.30108090499736484
no_images_subj_conf,4.048387096774194,0.15191260479351124,3.7506438625812453,4.346130330967143,0.2977432341929489
no_signature_subj_conf,3.6129032258064515,0.18490045331891847,3.250504996576242,3.975301455036661,0.3623982292302097
no_targeted_subj_conf,4.145161290322581,0.10985173146982344,3.929855853002362,4.3604667276428,0.215305437320219
